date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-05-03,29.1,71,1006.3,22.0,0.0,52.975,17.508333333333333,231.0833333333333,11.579166666666666,5.720833333333334,62.0,76.91666666666667
2024-05-04,29.1,70,1008.1,25.2,0.0,48.5625,21.46666666666667,207.875,8.291666666666666,4.379166666666666,79.75,71.41666666666667
2024-05-05,28.8,74,1006.6,23.0,0.0,48.958333333333336,18.225,191.41666666666663,7.370833333333334,3.891666666666667,64.70833333333333,65.33333333333333
2024-05-06,30.0,66,1005.5,21.1,0.0,60.6875,15.1125,208.5,10.5,4.579166666666667,69.5,57.458333333333336
2024-05-07,30.1,67,1006.2,18.7,0.0,62.0875,17.716666666666665,237.25,12.704166666666666,5.65,76.33333333333333,62.79166666666666
2024-05-08,29.6,78,1006.0,17.4,0.0,31.9375,9.320833333333333,205.25,11.779166666666669,5.670833333333333,61.16666666666666,50.625
2024-05-09,29.6,80,1005.0,18.5,0.0,33.52916666666667,9.904166666666669,194.9583333333333,10.125,5.5375000000000005,55.75,39.04166666666666
2024-05-10,29.3,78,1006.1,15.3,0.0,41.93333333333333,11.9375,210.66666666666663,10.066666666666666,6.279166666666666,58.375,45.79166666666666
2024-05-11,29.2,76,1007.8,13.9,0.0,58.64166666666667,16.370833333333334,206.5833333333333,10.416666666666666,7.274999999999999,68.29166666666667,55.458333333333336
2024-05-12,29.5,77,1007.9,14.4,0.0,68.15416666666667,15.379166666666668,222.0,11.475,7.545833333333333,85.58333333333333,61.91666666666666
2024-05-13,29.2,79,1007.7,13.9,0.0,100.325,19.258333333333333,225.91666666666663,12.8,8.191666666666666,79.875,68.0
2024-05-14,29.1,76,1009.0,12.9,0.0,66.63333333333334,19.129166666666663,241.125,15.133333333333333,8.654166666666667,82.5,72.54166666666667
2024-05-15,30.6,67,1009.2,16.5,0.0,38.87916666666667,13.991666666666667,197.4583333333333,11.383333333333333,5.916666666666667,75.41666666666667,61.208333333333336
2024-05-16,30.0,70,1009.4,18.0,0.0,39.37916666666667,15.570833333333333,231.375,12.441666666666668,5.604166666666667,67.29166666666667,55.708333333333336
2024-05-17,30.8,69,1007.4,19.5,0.0,48.3875,16.529166666666665,231.375,11.8375,4.966666666666667,68.79166666666667,58.16666666666666
